"Part name","Qty required(not ordered due to MOQs)","Source","Price","Actual Price with taxes & shipping","Links"
"47Ω 0805 res","1","robu.in","₹ 0.20 $0.0021","₹ 0.20 $0.0021","[link](https://robu.in/product/0805w8f470jt5e-uniohm-royal-ohm-125mw-thick-film-resistors-150v-%c2%b11-%c2%b1200ppm-%e2%84%83-47%cf%89-0805-chip-resistor-surface-mount-rohs/)"
"TS-1088-AR02016 Switch","2","robu.in","₹8.43 $0.0899","₹8.43 $0.0899","[link](https://robu.in/product/1-month-warranty-470/)"
"TLJR106M010S2000-KYOCERA AVX-10uF 10V cap","1","robu.in","₹26 $0.2772","₹26 $0.2772","[link](https://robu.in/product/tljr106m010s2000-kyocera-avx-10uf-10v-2%cf%89-%c2%b120-0805-tantalum-capacitors-rohs/)"
"16V 10uF X5R 0805","2","robu.in","₹1.96 $0.0209","₹1.96 $0.0209","[link](https://robu.in/product/cl21a106kofnnne-samsang-16v-10uf-x5r-%c2%b110-0805-multilayer-ceramic-capacitors-mlcc-smd-smt-rohs/)"
"1.3Kohm 0805 res","1","robu.in","₹ 1.96 $0.021","₹ 1.96 $0.021","[link](https://robu.in/product/rt0805fre071k3l-yageo-125mw-thin-film-resistor-%c2%b150ppm-%e2%84%83-%c2%b11-1-3k%cf%89-0805-chip-resistor-surface-mount-rohs/)"
"M2 X 12mm Female to Female Brass with Nickel plating Hex Threaded Standoff Spacer","4","onlyscrews.in","₹24.8 $0.2644","₹24.8 $0.2644","[link](https://onlyscrews.in/products/m2-x-12mm-female-to-female-brass-with-nickel-plating-hex-threaded-standoff-spacer?variant=50830639006009)"
"M2 X 10mm Hex (Allen) Socket Head High Tensile(12.9) Black oxide screw (Dia. 2mm, Length 10mm)","8","onlyscrews.in","₹28.8 $0.307","₹28.8 $0.307","[link](https://onlyscrews.in/products/m2-x-10mm-hex-allen-socket-head-high-tensile12-9-black-oxide-screw-dia-2mm-length-10mm?variant=49979287339321)"
"M2 Plain Washer SS304 (ID. 2.1mm OD:4.5mm T:0.5mm)","4","onlyscrews.in","₹2.4 $0.0256","₹2.4 $0.0256","[link](https://onlyscrews.in/products/m2-x-6mm-hex-allen-socket-head-high-tensile12-9-black-oxide-screw-dia-2mm-length-6mm?variant=49979039416633)"
"M2 Hex Nut Mild Steel with White Zinc Plating (Dia. 2mm)","4","onlyscrews.in","₹4 $0.0426","₹0.0426","[link](https://onlyscrews.in/products/m2-hex-nut-mild-steel-dia-2mm?variant=50252401246521)"
"M2 X 4mm Brass Threaded Inserts (Dia. 2mm, Length 4mm)","8","onlyscrews.in","₹21.6 $0.23","₹21.6 $0.23","[link](https://onlyscrews.in/products/m2-x-4mm-brass-threaded-inserts?variant=49423172829497)"
"16*2 I2C LCD","1","Local shop","Alr own","Alr own",""
"9V PP3 Battery","1","Local shop","Alr own","Alr own",""
"9V PP3 Battery connector clip","1","Local shop","Will purchase myself","Will purchase myself",""
"Sum of component prices","","","","$58.8217 excluding shipping cost of LCSC of $29.25 and $0.5224 of Robu,LionCircuits is free shipping,OnlyScrews has shipping cost of $0.6397",""
"Grand Total","","","","$89.2338",""
